FN	STARCH	GLUS	FRUS	GALS	SUCS	MALS	LACS	TRES	CHOAVL	SORTL	MANTL	NoticeSUG			
07156	(0)	0.6	0.6	(0)	0.3	(0)	(0)	-	1.5	-	-	全果に対する果汁分： 30 % <br>でん粉、ガラクトース、麦芽糖及び乳糖は米国成分表から推計			
07054	0.5	3.7	4.0	-	1.4	0	0	-	9.5	-	-	別名： キウイ<br>廃棄部位： 果皮及び両端			
07168	(0.1)	(5.0)	(5.5)	(0)	(1.2)	(0)	(0)	-	(11.9)	-	-	別名： ゴールデンキウイ<br>廃棄部位： 果皮及び両端<br>米国成分表から推計			
07057	(0.1)	(1.5)	(1.7)	-	(0.3)	(0)	(0)	(0)	(3.6)	-	-	別名： グアバ、ばんじろう、ばんざくろ<br>廃棄部位： 果皮及び種子<br>英国成分表から推計			
07058	(0)	(4.3)	(4.4)	(0)	(0.1)	(1.1)	(0)	(0)	(9.9)	-	-	別名： グアバ、ばんじろう、ばんざくろ<br>果肉（ピューレー）分： 20 %<br>米国成分表から推計			
07157	(0)	(3.2)	(2.9)	-	(1.8)	(0)	(0)	(0)	(7.8)	-	-	全果に対する割合： 20 %<br>豪州成分表から推計			
07158	(3.8)	(2.0)	(1.9)	-	(1.1)	(0)	(0)	-	(8.9)	-	-	試料： 缶詰<br>豪州成分表から推計			
07071	(0)	(7.0)	(5.7)	(0.6)	(0.2)	(0.1)	(0)	(0)	(13.7)	(2.2)	-	別名： おうとう、スイートチェリー<br>廃棄部位： 核及び果柄<br>米国成分表から推計。ソルビトールは豪州成分表から推計			
07072	(0.3)	(6.6)	(4.3)	(0)	(1.8)	(0.7)	(0)	(0)	(13.6)	(0.9)	-	別名： おうとう、スイートチェリー<br>試料： ヘビーシラップ漬<br>液汁を除いたもの<br>内容総量に対する果肉分： 50 %<br>廃棄部位： 核及び果柄<br>米国成分表から推計。でん粉、ソルビトールは豪州成分表から推計			
07060	(0)	(5.1)	(5.3)	-	(0.5)	(0)	(0)	(0)	(10.9)	-	-	別名： グズベリー、西洋すぐり、まるすぐり、おおすぐり<br>廃棄部位： 両端<br>英国成分表から推計			
07081	(0)	(5.5)	(3.3)	(0.2)	(1.7)	(0.1)	(0)	(0)	(10.7)	(0.7)	-	別名： ヨーロッパすもも　<br>廃棄部位： 核及び果柄<br>米国成分表から推計。ソルビトールは豪州成分表から推計			
07082	(4.9)	(24.6)	(12.0)	(0)	(0.1)	(0.1)	(0)	(0)	(41.7)	(12.1)	-	別名： ヨーロッパすもも<br>米国成分表から推計。ソルビトールは豪州成分表から推計			
07086	(0)	(6.3)	(6.7)	(0)	(0.7)	(0)	(0)	(0)	(13.7)	-	-	廃棄部位： 果皮、種子及びへた<br>米国成分表から推計			
07088	0	1.4	3.8	-	2.9	0	(0)	-	8.1	1.5	-	廃棄部位： 果皮及び果しん部			
07091	(0)	(2.4)	(6.0)	(0)	(0.7)	(0)	(0)	(0)	(9.2)	(2.9)	-	別名： 洋なし<br>廃棄部位： 果皮及び果しん部<br>米国成分表から推計。でん粉、ソルビトールは豪州成分表から推計			
07092	(0)	(6.6)	(6.4)	-	(1.5)	(2.0)	(0)	(0)	(16.5)	(2.7)	-	別名： 洋なし<br>試料： ヘビーシラップ漬<br>液汁を含んだもの （液汁 40 % ）<br>米国成分表から推計。でん粉、ソルビトール、乳糖は豪州成分表から推計			
07096	-	(29.1)	(29.9)	(0)	(0)	(0)	(0)	-	(59.0)	-	-	別名： デーツ<br>廃棄部位： へた及び核<br>豪州成分表から推計。ガラクトースは米国成分表から推計			
07097	0	1.6	1.9	-	8.8	Tr	(0)	-	12.2	-	-	別名： パイナップル<br>廃棄部位： はく皮及び果しん部			
07177	-	2.3	2.7	-	11.5	-	-	-	16.5	-	-	別名： パイナップル<br>はく皮及び果しん部を除いたもの			
07098	(0)	(2.8)	(2.8)	(0)	(4.3)	(0)	(0)	(0)	(9.9)	-	-	別名： パイナップル<br>英国成分表から推計。ガラクトースは米国成分表から推計			
07099	(0)	(2.8)	(2.8)	(0)	(4.3)	(0)	(0)	(0)	(9.9)	-	-	別名： パイナップル<br>英国成分表から推計。ガラクトースは米国成分表から推計			
07102	(0)	(7.1)	(5.7)	-	(6.5)	(0)	(0)	(0)	(19.4)	-	-	別名： パイナップル<br>試料： ヘビーシラップ漬<br>液汁を含んだもの （液汁 37 % ）<br>英国成分表から推計			
07103	(0)	(0.9)	(0.9)	-	(85.8)	-	(0)	-	(87.6)	-	-	原材料配合割合から推計			
07106	(0)	(1.6)	(1.3)	-	(1.1)	(0)	(0)	-	(4.0)	-	-	別名： くだものとけいそう<br>全果に対する果汁分： 30 %<br>豪州成分表から推計			
07107	3.1	2.6	2.4	-	10.5	Tr	0	-	18.5	-	-	廃棄部位： 果皮及び果柄			
07108	(10.7)	(9.0)	(8.3)	-	(36.6)	(Tr)	(0)	-	(64.5)	-	-	07107バナナ生から推計			
07109	(0)	(3.7)	(3.4)	(0)	(0)	(0)	(0)	(0)	(7.1)	-	-	別名 : パパイヤ<br>廃棄部位： 果皮及び種子<br>米国成分表から推計			
07110	(0)	(3.9)	(3.5)	(0)	(0)	(0)	(0)	-	(7.4)	-	-	別名 : パパイヤ<br>廃棄部位： 果皮及び種子<br>米国成分表から推計			
07114	(0)	(2.7)	(3.3)	-	(0)	(0)	(0)	-	(5.9)	-	-	廃棄部位： 果皮及び種子<br>豪州成分表から推計			
07116	(0)	(7.3)	(7.1)	-	(0)	(0)	(0)	-	(14.4)	(0)	(0)	廃棄部位： 果皮及び種子<br>ソルビトール、マンニトールは豪州成分表から推計			
07178	-	8.4	8.7	-	0	-	-	-	17.0	0	-				
07187	-	7.0	7.9	-	0	-	-	-	14.9	-	-				
07117	(0)	(28.6)	(31.7)	-	(0)	(0)	(0)	-	(60.3)	(0)	-	別名： レーズン<br>豪州成分表から推計			
07118	(0)	(6.7)	(7.2)	(0)	(Tr)	(0)	(0)	(0)	(13.9)	-	-	米国成分表から推計。でん粉は英国成分表から推計			
07119	(0)	(5.6)	(6.1)	(0)	(Tr)	(0)	(0)	(0)	(11.7)	-	-	米国成分表から推計。でん粉は英国成分表から推計			
07123	(0)	(5.0)	(4.9)	-	(37.4)	(0)	(0)	-	(47.2)	-	-	原材料配合割合から推計			
07124	(Tr)	(4.2)	(4.3)	(0)	(0.1)	(0)	(0)	(0)	(8.6)	-	-	試料： ハイブッシュブルーベリー<br>果実全体<br>米国成分表から推計			
07125	(Tr)	(3.3)	(3.3)	-	(34.7)	(0)	(0)	(0)	(41.3)	-	-	試料： ハイブッシュブルーベリー<br>原材料配合割合から推計			
07128	(3.8)	(4.8)	(4.6)	(0)	(2.4)	(0.2)	(0)	(0)	(15.8)	-	-	廃棄部位： 果皮及び種子<br>米国成分表から推計			
07130	(Tr)	(1.4)	(1.7)	(0.1)	(4.1)	(Tr)	(0)	-	(7.4)	-	-	廃棄部位： 果皮及び種子<br>米国成分表から推計			
07173	(Tr)	(1.4)	(1.7)	(0.1)	(4.1)	(Tr)	(0)	-	(7.4)	-	-	廃棄部位： 果皮及び種子<br>米国成分表から推計			
07131	(0)	(3.5)	(5.5)	-	(0.4)	(0)	(0)	(0)	(9.4)	(0)	-	廃棄部位： 果皮及び果しん<br>豪州成分表から推計			
07132	(0.4)	(1.3)	(4.4)	-	(7.3)	(0)	(0)	-	(13.4)	-	-	廃棄部位： 果皮及び種子<br>英国成分表から推計。ガラクトースは米国成分表から推計			
07179	1.1	4.8	20.4	-	40.5	-	-	-	66.8	-	-				
07134	(Tr)	(1.2)	(1.3)	-	(6.7)	(0)	(0)	-	(9.3)	-	-	試料： アールス系（緑肉種）<br>廃棄部位： 果皮及び種子<br>07135露地メロンから推計			
07135	Tr	1.2	1.3	-	6.7	0	0	-	9.2	-	-	廃棄部位： 果皮及び種子			
07174	(Tr)	(1.2)	(1.3)	-	(6.7)	(0)	(0)	-	(9.2)	-	-	廃棄部位： 果皮及び種子<br>07135緑肉種生から推計			
07136	0	0.6	0.7	-	6.8	0	(0)	-	8.0	0.3	-	別名： 毛桃<br>試料： 白肉種<br>廃棄部位： 果皮及び核			
07184	0.1	1.0	1.2	-	8.6	0	0	-	11.0	2.7	-	廃棄部位： 果皮及び核			
07137	(0)	(5.3)	(5.0)	(0)	(1.5)	(0)	(0)	-	(11.7)	-	-	別名： 毛桃<br>果肉（ピューレー）分： 30 %<br>米国成分表から推計			
07138	-	(6.5)	(3.8)	(0)	(4.4)	(1.6)	(0)	-	(16.3)	-	-	別名： 毛桃<br>試料 ： ヘビーシラップ漬<br>内容総量に対する果肉分： 60 %<br>豪州成分表から推計。ガラクトースは米国成分表から推計			
07175	-	(6.5)	(3.8)	(0)	(4.4)	(1.6)	(0)	-	(16.3)	-	-	別名： 毛桃<br>内容総量に対する果肉分： 60 %<br>07138缶詰白肉種から推計			
07140	(0.1)	(1.5)	(1.3)	(0)	(4.8)	(0)	(0)	(0)	(7.7)	(0.6)	-	別名： 油桃<br>廃棄部位： 果皮及び核<br>米国成分表から推計。ソルビトールは文献値から推計			
07144	(0)	(7.3)	(7.0)	-	(0.6)	(0)	(0)	(0)	(14.9)	-	-	別名： れいし<br>試料： 冷凍品<br>廃棄部位： 果皮及び種子<br>豪州成分表から推計			
07146	(0.2)	(2.4)	(2.9)	(0)	(0.1)	(0)	(0)	(0)	(5.6)	(0)	(0.1)	別名： レッドラズベリー、西洋きいちご<br>果実全体<br>豪州成分表から推計。ガラクトースは米国成分表から推計			
07148	0.1	1.4	6.0	0	4.8	0	(0)	-	12.2	0.7	-	廃棄部位： 果皮及び果しん部			
07176	Tr	1.6	6.3	0	4.7	0	(0)	-	12.7	0.5	-	廃棄部位： 果しん部			
07180	0.1	2.1	8.6	-	6.2	-	-	-	17.0	-	-	果しん部を除いたもの			
07149	0	2.8	6.4	-	1.4	0	(0)	-	10.7	0.4	-				
07150	(0)	(2.7)	(6.2)	-	(1.4)	(0)	(0)	-	(10.3)	-	-	07149りんごストレートジュースから推計			
07154	(Tr)	(1.1)	(3.6)	-	(46.4)	(0)	(0)	-	(51.0)	-	-	原材料配合割合から推計			
08001	0.2	Tr	Tr	-	0	Tr	(0)	0.7	0.9	-	0.1	試料： 栽培品<br>廃棄部位： 柄の基部（いしづき）			
08002	(0.2)	(Tr)	(Tr)	-	(0)	(Tr)	(0)	(0.7)	(0.9)	-	(0.1)	試料： 栽培品<br>柄の基部（いしづき）を除いたもの<br>08001えのきたけ生から推計			
08037	(0.2)	(Tr)	(Tr)	-	(0)	(Tr)	(0)	(0.8)	(1.1)	-	(0.2)	試料： 栽培品<br>柄の基部（いしづき）を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について08001えのきたけ生から推計			
08003	0.3	1.2	0.7	Tr	4.4	2.9	0	0.3	9.9	-	0	別名： なめたけ<br>試料： 栽培品<br>液汁を除いたもの			
08054	0.1	0.1	(0)	-	(0)	(0)	(0)	0	0.1	-	-	別名： 裏白きくらげ<br>試料： 栽培品<br>廃棄部位： 柄の基部（いしづき）			
08004	-	0.1	0	-	0	0	(0)	0.8	0.9	-	0	別名： 裏白きくらげ<br>試料： 栽培品			
08005	(0.2)	(0.1)	(0)	-	(0)	(0)	(0)	(0)	(0.4)	-	-	試料： 栽培品<br>08004あらげきくらげ乾から推計			
08038	(0.4)	(0.3)	(0)	-	(0)	(0)	(0)	(0)	(0.6)	-	-	水戻し後、油いため<br>試料： 栽培品<br>可食部(100g)から脂質量(g)を差し引いた部分について08004あらげきくらげ乾から推計			
08006	-	0	0	-	0	0	(0)	2.6	2.6	-	0	試料： 栽培品			
08007	-	(0)	(0)	-	(0)	(0)	(0)	(0.2)	(0.2)	-	(0)	試料： 栽培品<br>08006きくらげ乾から推計			
08008	-	0.2	Tr	-	0	0.1	(0)	3.1	3.4	-	0.3	試料： 栽培品			
08009	-	(Tr)	(0)	-	(0)	(0)	(0)	(0.3)	(0.3)	-	(Tr)	試料： 栽培品<br>08008しろきくらげ乾から推計			
08010	-	0.1	0	-	0	0	(0)	1.1	1.3	-	0.3	試料： 栽培品<br>廃棄部位： 柄の基部（いしづき）			
08039	0.2	0.1	0	-	0	0	0	0.4	0.7	-	1.2				
08040	(0.1)	(0.1)	(0)	-	(0)	(0)	(0)	(0.3)	(0.6)	-	(0.9)	試料： 栽培品<br>柄全体を除いた傘のみ<br>08039生しいたけ菌床栽培生から推計			
08041	(0.2)	(0.1)	(0)	-	(0)	(0)	(0)	(0.4)	(0.7)	-	(1.3)	試料： 栽培品<br>柄全体を除いた傘のみ<br>可食部(100g)から脂質量(g)を差し引いた部分について08039生しいたけ菌床栽培生から推計			
08057	12.4	Tr	0	-	0.1	0.1	0	0.5	13.1	0	0.8				
08042	-	0.2	Tr	-	Tr	0	(0)	0.5	0.7	-	-	試料： 栽培品<br>廃棄部位： 柄全体			
08043	-	(0.2)	(Tr)	-	(Tr)	(0)	(0)	(0.4)	(0.6)	-	-	試料： 栽培品<br>柄全体を除いた傘のみ<br>08042生しいたけ原木栽培生から推計			
08044	-	(0.3)	(Tr)	-	(Tr)	(0)	(0)	(0.5)	(0.9)	-	-	試料： 栽培品<br>柄全体を除いた傘のみ<br>可食部(100g)から脂質量(g)を差し引いた部分について08042生しいたけ原木栽培生から推計			
08013	-	0.2	0.1	-	0	0	(0)	10.9	11.2	-	-	どんこ、こうしんを含む<br>試料： 栽培品<br>廃棄部位： 柄全体			
08014	-	(Tr)	(0)	-	(0)	(0)	(0)	(1.7)	(1.7)	-	-	どんこ、こうしんを含む<br>試料： 栽培品<br>柄全体を除いた傘のみ<br>08013乾しいたけ乾から推計			
08053	0.5	2.5	2.5	Tr	9.4	0.3	0	0	15.2	2.0	-				
08016	0.1	0.2	0	-	0	0	(0)	1.0	1.3	-	0.4	試料： 栽培品<br>廃棄部位： 柄の基部（いしづき）			
08017	(0.1)	(0.2)	(0)	-	(0)	(0)	(0)	(1.0)	(1.3)	-	(0.4)	試料： 栽培品<br>柄の基部（いしづき）を除いたもの<br>08016ぶなしめじ生から推計			
08046	(0.1)	(0.2)	(0)	-	(0)	(0)	(0)	(1.0)	(1.3)	-	(0.5)	試料： 栽培品<br>柄の基部（いしづき）を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について08016ぶなしめじ生から推計			
08055	0.3	0	(0)	-	(0)	(0)	(0)	1.8	2.1	-	0.7	試料： 栽培品<br>柄の基部（いしづき）を除いたもの			
08056	18.5	0	-	-	-	-	-	0.6	19.2	-	0.2	試料： 栽培品<br>柄の基部（いしづき）を除いたもの			
08019	-	0.4	0	-	0	Tr	(0)	0	0.4	-	0.4	別名： にれたけ、たもきのこ<br>試料： 栽培品<br>廃棄部位： 柄の基部（いしづき）			
08020	0.3	0.1	Tr	-	0	0	(0)	1.9	2.4	-	Tr	別名： なめたけ<br>試料： 栽培品<br>廃棄部位： 柄の基部（いしづき）<br>（柄の基部を除いた市販品の場合： 0 %）			
08021	(0.3)	(0.1)	(Tr)	-	(0)	(0)	(0)	(1.8)	(2.2)	-	(Tr)	別名： なめたけ<br>試料： 栽培品<br>柄の基部（いしづき）を除いたもの<br>08020なめこ生から推計			
08058	0.2	0.9	0	-	0	Tr	0	0.6	1.8	-	0.1	別名： なめたけ<br>試料： 栽培品			
08022	(0.2)	(Tr)	(Tr)	-	(0)	(0)	(0)	(1.1)	(1.4)	-	(Tr)	試料： 栽培品<br>液汁を除いたもの<br>08020なめこ生から推計			
08023	-	0.4	0	-	0	Tr	(0)	1.5	1.9	-	Tr	試料： 栽培品<br>廃棄部位： 柄の基部（いしづき）			
08024	-	0.5	0	-	0	0	(0)	1.0	1.5	-	0	試料： 栽培品<br>廃棄部位： 柄の基部（いしづき）			
08025	-	0.3	Tr	-	0	0	(0)	2.5	2.9	-	-	試料： 栽培品<br>廃棄部位： 柄の基部（いしづき）			
08048	-	(0.3)	(Tr)	-	(0)	(0)	(0)	(2.7)	(3.1)	-	-	試料： 栽培品<br>柄の基部（いしづき）を除いたもの<br>08025エリンギ生から推計			
08049	-	(0.5)	(0.1)	-	(0)	(0)	(0)	(3.8)	(4.3)	-	-	試料： 栽培品<br>柄の基部（いしづき）を除いたもの<br>08025エリンギ生から推計			
08050	-	(0.4)	(0.1)	-	(0)	(0)	(0)	(3.2)	(3.7)	-	-	試料： 栽培品<br>柄の基部（いしづき）を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について08025エリンギ生から推計			
08026	-	0.4	0	-	0	0	(0)	0.9	1.3	-	0.2	別名： かんたけ<br>試料： 栽培品<br>廃棄部位： 柄の基部（いしづき）			
08027	-	(0.4)	(0)	-	(0)	(0)	(0)	(0.9)	(1.3)	-	(0.2)	試料： 栽培品<br>柄の基部（いしづき）を除いたもの<br>08026ひらたけ生から推計			
08028	0.2	0.1	0	-	0	0	(0)	-	0.3	-	-	試料： 栽培品<br>廃棄部位： 柄の基部（いしづき）			
08029	(0.2)	(0.1)	(0)	-	(0)	(Tr)	(0)	-	(0.3)	-	-	試料： 栽培品<br>柄の基部（いしづき）を除いたもの<br>08028まいたけ生から推計			
08051	(0.2)	(0.2)	(0)	-	(0)	(Tr)	(0)	-	(0.4)	-	-	試料： 栽培品<br>柄の基部（いしづき）を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について08028まいたけ生から推計			
08030	(1.9)	(1.3)	(0)	-	(0.1)	(0.1)	(0)	-	(3.4)	-	-	試料： 栽培品<br>柄の基部（いしづき）を除いたもの<br>08028まいたけ生から推計			
08031	0.1	0	Tr	-	0	0	0	Tr	0.1	-	1.3	試料： 栽培品<br>廃棄部位： 柄の基部（いしづき）			
08032	(0.1)	(Tr)	(0.1)	-	(0)	(0)	(0)	(Tr)	(0.2)	-	(1.8)	試料： 栽培品<br>柄の基部（いしづき）を除いたもの<br>08031マッシュルーム生から推計			
08052	(0.1)	(Tr)	(0.1)	-	(0)	(0)	(0)	(Tr)	(0.2)	-	(2.0)	試料： 栽培品<br>柄の基部（いしづき）を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について08031マッシュルーム生から推計			
08059	0.1	0.1	0.1	-	0	0	0	0	0.3	-	1.2	試料： 栽培品<br>廃棄部位： 柄の基部（いしづき）			
08033	(0.1)	(0)	(0.1)	-	(0)	(0)	(0)	(Tr)	(0.2)	-	(1.7)	試料： 栽培品<br>液汁を除いたもの<br>08031マッシュルーム生から推計			
08034	-	0.2	0	-	0	0	-	1.3	1.5	-	1.4	試料： 天然物<br>廃棄部位： 柄の基部（いしづき）			
08036	-	0.2	0	-	0	0	(0)	0.5	0.7	-	0	試料： 栽培品<br>廃棄部位： 柄の基部（いしづき）			
09002	-	0	0	0	0.2	0	(0)	-	0.2	-	0				
09003	0.4	0	0	-	Tr	0	(0)	-	0.4	-	0	すき干ししたもの<br>別名： のり			
09004	1.7	0	0	-	Tr	0	(0)	-	1.7	-	Tr	別名： のり			
09005	2.8	0.2	0.3	0	10.1	0	0	0	13.5	0	0.1	別名： のり			
09007	(0.4)	(0)	(0)	-	(Tr)	(0)	(0)	-	(0.4)	-	(0)	すき干ししたもの<br>09003ほしのりから推計			
09011	(0.4)	(0)	(0)	-	(Tr)	(0)	(0)	-	(0.4)	-	(0)	すき干ししたもの<br>09003ほしのりから推計			
09017	0.1	Tr	0	-	0	Tr	(0)	0	0.1	-	23.4				
09056	Tr	0	(0)	-	(0)	0	(0)	0	Tr	-	2.8				
09020	0.1	0.3	0	-	0	0	(0)	-	0.4	-	12.4				
09023	0.4	2.9	2.4	Tr	12.9	1.3	0	0	19.8	1.7	0.4	試料： ごま入り			
09049	-	0.1	0	0	0	0	(0)	-	0.1	-	0	別名： まくさ（和名）<br>試料： てんぐさ以外の粉寒天も含む			
09050	0.3	Tr	Tr	0	0	0	(0)	-	0.4	-	3.1	ステンレス釜で煮熟後乾燥したもの			
09033	1.4	3.0	2.6	0.1	10.2	5.5	0	0	22.9	0	0	別名： のりのつくだ煮			
09044	0	0	0	-	0	0	(0)	-	0	-	0				
10390	7.3	0.1	0	-	0	0.4	-	-	7.8	-	-	別名： あじ<br>三枚におろしたもの			
10392	4.0	Tr	0	-	0	0	-	-	4.0	-	-	別名： あじ<br>内臓、うろこ等を除いて、調理したもの			
10395	9.8	0.1	0	-	0	0.4	-	-	10.3	-	-	三枚におろしたもの			
10400	7.6	0	0	-	0	0.1	-	-	7.7	-	-	頭部、内臓、骨、ひれ等を除いたもの<br>廃棄部位： 尾			
10403	5.8	0.1	0	-	0	0.3	-	-	6.2	-	-	別名： さば<br>切り身			
10409	6.3	Tr	0	-	0	0.2	-	-	6.5	-	-	切り身			
10448	1.2	5.5	0.2	-	72.5	-	-	-	79.4	-	-				
10427	3.3	-	-	-	-	-	-	-	3.3	-	-	廃棄部位： 貝殻及び内蔵			
10289	2.8	-	-	-	-	-	-	-	2.8	-	-	別名： ムール貝<br>廃棄部位： 貝殻、足糸等			
10292	2.3	-	-	-	-	-	-	-	2.3	-	-	試料： まがき<br>廃棄部位： 貝殻			
10293	6.5	-	-	-	-	-	-	-	6.5	-	-	試料： まがき<br>むき身			
10430	13.9	0	-	-	-	0.4	-	-	14.2	-	-	試料： まがき<br>むき身			
10310	1.2	-	-	-	-	-	-	-	1.2	-	-	廃棄部位： 貝殻			
10416	6.1	0.4	0	-	0	Tr	-	-	6.5	-	-	頭部、殻、内臓等除いたもの<br>廃棄部位： 殻及び尾部			
10419	8.0	0.1	0	-	0	0.1	-	-	8.2	-	-				
10423	9.0	0.1	0	0	3.9	0	0	-	12.9	0.1	-				
10381	3.9	0.9	0.1	0	4.4	0.1	0	-	9.4	2.3	-	イソマルトース： 0 g			
10386	4.2	0.2	0.1	0	3.7	0	0	-	8.2	3.3	-	別名： あげはん<br>イソマルトース： 0 g<br>キシロース：0.9g			
11104	0.3	0.2	Tr	0	0.1	0	0	0.7	1.4	0	-	イソマルトース： 0 g			
11105	0.2	0	0	0	0.7	0	0	0	0.9	0	-	イソマルトース： 0 g			
11106	0.2	0.6	0.4	0	11.1	0	0	0	12.3	0	-	試料： 大和煮缶詰<br>液汁を含んだもの（液汁36 %）<br>イソマルトース： 0 g			
11107	1.0	2.4	0.1	0	4.4	0.2	0	1.2	9.2	0	-	イソマルトース： 0 g			
11108	0.3	0.4	0	0	0.6	0	0	0	1.2	0	-	イソマルトース： 0 g			
11276	8.4	0.1	0	-	0	0.3	-	-	8.8	-	-				
11279	13.7	0.1	0	-	0	0.4	-	-	14.2	-	-				
11174	0.1	0.7	0	-	0.1	0.1	0	-	0.9	-	-	廃棄部位： 皮及び骨<br>イソマルトース： 0 g			
11175	0.1	0.5	0	-	0.6	0	0	-	1.1	-	-	 イソマルトース： 0 g			
11176	0.1	0.5	Tr	0	0.4	0.2	0	-	1.1	-	-	 イソマルトース： 0 g			
11303	-	0.4	0	-	0.3	0.2	-	-	0.9	-	-				
11304	-	0.6	Tr	-	0.4	0.3	-	-	1.3	-	-				
11305	-	0.3	Tr	-	0.3	0.5	-	-	1.2	-	-				
11177	0.1	0.5	0	-	0.4	0.1	0	-	1.1	-	-	イソマルトース： 0 g			
11181	0.1	1.9	0	-	1.3	0	0	-	3.3	-	-	ラックスハムを含む<br>イソマルトース： 0 g			
11182	0.1	0	0	-	0	0	0	-	0.1	-	-	プロシュートを含む<br>イソマルトース： 0 g			
11178	2.5	0.4	0	-	0.7	0.3	0.6	-	4.5	-	-	イソマルトース： 0 g			
11180	7.2	0.4	0.1	-	0.3	0.2	0	-	8.1	-	-	イソマルトース： 0 g			
11183	0.2	0.6	0	-	0.8	0.3	0	-	1.9	-	-	別名：ベーコン<br>イソマルトース： 0 g			
11184	0.1	0.1	0	-	0.7	0	0.4	-	1.3	-	-	イソマルトース： 0 g			
11185	0.1	0.8	0	-	0.3	0.3	0	-	1.6	-	-				
11186	1.6	0.7	0	0.2	0.4	0.2	0	-	3.1	-	-				
11306	-	0.7	0	0	0.7	0.4	0	-	1.8	-	-				
11187	2.3	0.7	0	-	0.1	0.5	-	-	3.7	-	-	ソフトサラミを含む			
11188	1.5	1.3	0	-	0.5	0.1	-	-	3.3	-	-	サラミを含む			
11189	3.1	0.3	0	-	0.4	0	0.7	-	4.5	-	-				
11190	1.9	0.4	0	-	0.7	0	-	-	3.0	-	-				
11191	0.9	0.4	0	-	0.2	0	-	-	1.5	-	-				
11192	0.3	1.3	0.2	-	0.1	0	-	-	2.0	-	-				
11193	8.9	0.2	0	-	0.5	0	-	-	9.7	-	-				
11194	0.3	0.1	0	-	0.2	0	-	-	0.6	-	-	別名： フレッシュソーセージ			
11317	3.6	Tr	Tr	0	0.8	0	0	0	4.5	0	0.2	イソマルトース： 0 g			
11195	0.8	0.6	0.4	0	2.9	0.1	0	0	4.7	0.2	-	試料： 蒸し焼きしたもの			
11196	1.3	1.2	0	0	0.2	0	0	0	2.7	0	-				
11197	0.3	1.8	0	0	0.7	0	0	0	2.9	0	-				
11245	-	0.1	0	0	0	0	0	-	0.1	-	-	別名： ひつじ<br>試料： オーストラリア産			
11289	12.4	0.1	0	-	0.3	0.2	-	-	13.0	-	-	別名：ブロイラー			
11290	12.6	0.1	0	-	0.4	0.4	-	-	13.4	-	-	別名：ブロイラー<br>皮下脂肪を除いたもの			
11300	6.7	0	0	-	0	0.2	-	-	6.9	-	-	別名：ブロイラー<br>すじを除いたもの			
11299	6.4	0	0	-	0	0.1	-	-	6.5	-	-	別名：ブロイラー<br>すじを除いたもの			
11237	1.0	0.7	0.6	0	8.2	0.1	0	-	10.6	0	-	液汁を含んだもの（液汁 33 %）			
11292	12.0	0.1	0	0	0.4	0.1	0	-	12.6	0	-				
11293	5.0	1.0	0.3	0	4.0	0.1	0.3	-	10.8	0.4	-				
12001	(0)	(0.3)	(0)	(0)	-	(0)	-	(0)	(0.3)	-	-	廃棄部位： 付着卵白を含む卵殻（卵殻： 13 %）<br>卵黄：卵白＝ 38：62<br>12010鶏卵卵黄生及び12014鶏卵卵白生から推計			
12002	(0)	(0.3)	(0)	(0)	-	(0)	-	(0)	(0.3)	-	-	廃棄部位： 付着卵白を含む卵殻（卵殻： 12 %）<br>卵黄：卵白＝ 38：62<br>12010鶏卵卵黄生及び12014鶏卵卵白生から推計			
12004	(0)	0.3	0	(0)	(0)	0	0	(0)	0.3	-	-	廃棄部位： 卵殻（付着卵白を含む）<br>付着卵白を含まない卵殻：13％<br>卵黄：卵白＝32：68			
12005	(0)	0.3	Tr	(0)	(0)	0	0	(0)	0.3	-	-	廃棄部位：卵殻<br>卵黄：卵白＝31：69			
12008	(0)	0.2	0	(0)	21.4	(0)	(0)	-	21.7	-	-	試料： 冷凍品<br>12004鶏卵全卵生の計算値及び03003上白糖（8：2）から推計			
12009	-	(0.6)	(0)	(0)	(0)	(0)	(0)	-	(0.6)	-	-	米国成分表から推計			
12010	(0)	0.2	0	(0)	-	0	-	(0)	0.2	-	-				
12011	(0)	0.2	0	(0)	-	0	-	(0)	0.2	-	-	12010鶏卵卵黄生から推計			
12012	(0)	0.2	0	(0)	20.9	(0)	(0)	-	21.1	-	-	試料： 冷凍品<br>12010鶏卵卵黄生及び03003上白糖（8：2）から推計			
12013	-	(0.2)	(0)	(0)	(0)	(0)	(0)	-	(0.2)	-	-	米国成分表から推計			
12014	(0)	0.4	0	(0)	0	0	-	(0)	0.4	-	-				
12015	(0)	0.3	Tr	(0)	0	0	-	(0)	0.4	-	-	12014鶏卵卵白生から推計			
12017	(0)	(0.1)	(0)	(0)	(0)	(0)	(0)	(0)	(0.1)	(0)	(0)	原材料配合割合から推計			
12018	(0)	(0.3)	(0.1)	(0)	(6.1)	(0)	(0)	(0)	(6.4)	-	-	原材料配合割合から推計			
12019	(0)	(0.2)	(Tr)	(0)	(0)	(0)	(0)	(0)	(0.3)	-	-	原材料配合割合から推計			
